Network,Demand,Goodwill,Backlog,Agent,Horizon,Profit_Mean,Profit_Std,FillRate_Mean,AvgInv_Mean,Unfulfilled_Mean,Time_Mean_Sec,Num_Seeds
base,stationary,False,True,DLP_H10,10,793.2429999999999,56.48336379855578,0.8767947120165862,664.5066666666665,75.8,2.8798141479492188,5
base,stationary,False,True,DLP_H10_Blind,10,792.6890000000001,57.4638650283811,0.8913980328838326,662.4266666666666,65.6,3.4437018394470216,5
base,stationary,False,True,DLP_Adaptive,26,838.8456,48.040805957435815,0.7902739322834931,663.4733333333334,129.4,4.6579371929168705,5
base,stationary,False,True,DLP_Adaptive_Blind,26,840.271,54.77570150714636,0.8476090111745167,657.4,92.4,3.6538934230804445,5
base,stationary,False,False,DLP_H10,10,742.3090000000001,34.7662263410914,0.9570683122804265,679.2733333333333,26.2,2.4145244121551515,5
base,stationary,False,False,DLP_H10_Blind,10,731.484,49.58174859764426,0.9486854266191524,676.6800000000001,31.0,2.562500238418579,5
base,stationary,False,False,DLP_Adaptive,26,789.7752,28.14672110495288,0.9541910153323585,677.2733333333333,28.0,3.4913702964782716,5
base,stationary,False,False,DLP_Adaptive_Blind,26,761.8442,25.164824286292976,0.9331054410725337,675.7666666666667,40.6,3.2796148300170898,5
base,stationary,True,True,DLP_H10,10,556.705,70.45104633715528,0.9197678442643827,704.8266666666667,36.8,2.4992764472961424,5
base,stationary,True,True,DLP_H10_Blind,10,666.1250000000001,75.30851811050326,0.9136496918259767,678.3533333333334,45.6,2.386062669754028,5
base,stationary,True,True,DLP_Adaptive,26,610.3543999999999,69.59408052298703,0.91838535578512,701.6666666666667,37.4,1.2389100551605225,5
base,stationary,True,True,DLP_Adaptive_Blind,26,688.5439999999999,70.69396564912735,0.8969857981895142,677.5133333333333,54.2,1.0546635150909425,5
base,stationary,True,False,DLP_H10,10,596.0200000000001,72.68072667495831,0.9587800429263957,706.4866666666667,21.6,0.7745535850524903,5
base,stationary,True,False,DLP_H10_Blind,10,652.725,114.84896656043536,0.9522467548437163,686.5533333333333,26.0,0.9087144374847412,5
base,stationary,True,False,DLP_Adaptive,26,652.087,72.22800233981278,0.95861306716758,702.0266666666668,21.8,1.1981875419616699,5
base,stationary,True,False,DLP_Adaptive_Blind,26,669.3446,74.15384860302262,0.9423494442476793,687.8333333333334,31.4,1.1771812915802002,5
base,trend,False,True,DLP_H10,10,1692.1209999999999,66.71170979670656,0.7162098400926415,494.8466666666667,293.0,0.8240361213684082,5
base,trend,False,True,DLP_H10_Blind,10,1643.0670000000002,63.34018042285624,0.46429363932101353,504.90666666666664,549.8,1.5368505001068116,5
base,trend,False,True,DLP_Adaptive,26,1720.7476,62.30066939158846,0.6781415154868222,492.9466666666667,333.0,4.50207290649414,5
base,trend,False,True,DLP_Adaptive_Blind,26,1266.5185999999999,52.83251538058744,0.0,561.0333333333333,1999.8,5.845205354690552,5
base,trend,False,False,DLP_H10,10,1477.2679999999998,40.130845318781894,0.8963204098438833,554.1266666666668,106.6,3.155752182006836,5
base,trend,False,False,DLP_H10_Blind,10,1300.0,33.66248549943981,0.818839241759848,583.9666666666667,186.0,2.534627676010132,5
base,trend,False,False,DLP_Adaptive,26,1515.764,39.609284340921896,0.8961297520745791,553.8399999999999,106.8,3.385421371459961,5
base,trend,False,False,DLP_Adaptive_Blind,26,1027.8986,36.31460738931379,0.6785383901527441,636.3533333333332,329.4,3.402110147476196,5
base,trend,True,True,DLP_H10,10,1058.9630000000002,106.30740583797537,0.8513253143607397,606.28,106.6,2.4323095798492433,5
base,trend,True,True,DLP_H10_Blind,10,844.4419999999998,62.87375434948986,0.7873086338728739,637.0066666666667,131.0,2.469165086746216,5
base,trend,True,True,DLP_Adaptive,26,1098.574,106.77192699019722,0.8518030395332911,606.6,106.4,3.557524251937866,5
base,trend,True,True,DLP_Adaptive_Blind,26,831.2426000000002,59.940899614870645,0.7085632474555394,642.3733333333333,172.6,4.051447057723999,5
base,trend,True,False,DLP_H10,10,1013.6209999999999,100.84888305777119,0.9163361892400863,626.3266666666667,63.8,2.8060344219207765,5
base,trend,True,False,DLP_H10_Blind,10,879.2220000000001,54.738721998234524,0.8874197371861989,644.08,82.4,3.4102737426757814,5
base,trend,True,False,DLP_Adaptive,26,1064.1934,102.22950849651974,0.9177528965879482,627.2466666666667,63.0,3.992355489730835,5
base,trend,True,False,DLP_Adaptive_Blind,26,879.4646,70.09392400657846,0.8658329334187156,653.5066666666667,96.8,4.033770179748535,5
base,seasonal,False,True,DLP_H10,10,796.625,42.91419368926796,0.45210783742458843,619.3266666666666,333.2,2.9858653068542482,5
base,seasonal,False,True,DLP_H10_Blind,10,776.7320000000002,52.22050905535101,0.37762833301840726,621.3733333333333,376.2,2.6046031951904296,5
base,seasonal,False,True,DLP_Adaptive,26,840.8657999999999,37.43967270903954,0.3843521558250918,616.1333333333334,377.6,3.650311231613159,5
base,seasonal,False,True,DLP_Adaptive_Blind,26,790.3030000000001,55.117852109820106,0.11079821197375248,621.5066666666668,579.8,3.6929908752441407,5
base,seasonal,False,False,DLP_H10,10,588.6339999999999,21.018827607647346,0.8297708690660933,677.3666666666666,102.8,2.463164758682251,5
base,seasonal,False,False,DLP_H10_Blind,10,587.9810000000001,30.728659814577078,0.834293949114489,679.0666666666666,99.8,2.719586229324341,5
