Network,Demand,Goodwill,Backlog,Seed,Oracle_Profit,Oracle_FillRate,Oracle_AvgInv,Oracle_Unfulfilled,Oracle_AvgBacklog,Oracle_FinalSentiment,Oracle_SolveTime_s
base,stationary,False,True,42,840.91,1.0,600.3,0.0,0.0,1.0,0.6448986530303955
base,stationary,False,True,43,818.167,1.0,602.6666666666666,0.0,0.0,1.0,0.4347689151763916
base,stationary,False,True,44,826.981,1.0,602.7333333333333,0.0,0.0,1.0,0.6079370975494385
base,stationary,False,True,45,845.008,0.9916387959866221,589.9333333333333,5.0,0.16666666666666666,1.0,0.5129187107086182
base,stationary,False,True,46,834.1479999999999,1.0,594.9666666666667,0.0,0.0,1.0,0.5642111301422119
base,stationary,False,True,47,962.3980000000001,0.9617737003058104,568.0,25.0,0.8333333333333334,1.0,0.6153240203857422
base,stationary,False,True,48,871.943,1.0,592.5333333333333,0.0,0.0,1.0,0.613051176071167
base,stationary,False,True,49,875.1089999999999,0.9934640522875817,587.3333333333334,4.0,0.13333333333333333,1.0,0.7861249446868896
base,stationary,False,True,50,870.8829999999998,1.0,600.5,0.0,0.0,1.0,0.6936278343200684
base,stationary,False,True,51,871.8279999999999,1.0,589.2,0.0,0.0,1.0,0.5377352237701416
base,stationary,False,True,52,842.872,1.0,595.8666666666667,0.0,0.0,1.0,0.3852121829986572
base,stationary,False,True,53,811.3249999999999,1.0,598.5333333333333,0.0,0.0,1.0,0.3268740177154541
base,stationary,False,True,54,748.657,1.0,631.1666666666666,0.0,0.0,1.0,0.33025574684143066
base,stationary,False,True,55,740.4600000000003,1.0,636.1333333333333,0.0,0.0,1.0,0.32997584342956543
base,stationary,False,True,56,912.6330000000002,1.0,585.7333333333333,0.0,0.0,1.0,0.737799882888794
base,stationary,False,True,57,839.6120000000001,1.0,600.9666666666667,0.0,0.0,1.0,0.3422820568084717
base,stationary,False,True,58,833.073,1.0,603.1333333333333,0.0,0.0,1.0,0.6817033290863037
base,stationary,False,True,59,807.4970000000001,1.0,609.9,0.0,0.0,1.0,0.7562658786773682
base,stationary,False,True,60,770.9889999999998,1.0,614.0333333333333,0.0,0.0,1.0,2.097533941268921
base,stationary,False,True,61,811.602,1.0,615.8,0.0,0.0,1.0,0.7556757926940918
base,stationary,False,True,62,922.915,1.0,580.9666666666667,0.0,0.0,1.0,0.4490480422973633
base,stationary,False,True,63,825.5079999999998,1.0,614.5666666666667,0.0,0.0,1.0,0.6339356899261475
base,stationary,False,True,64,952.46,0.963020030816641,570.2666666666667,24.0,0.8,1.0,0.588554859161377
base,stationary,False,True,65,772.2540000000001,1.0,614.4666666666667,0.0,0.0,1.0,0.38270115852355957
base,stationary,False,True,66,794.6770000000001,1.0,616.3333333333334,0.0,0.0,1.0,0.5518851280212402
base,stationary,False,True,67,686.4889999999999,1.0,631.4333333333333,0.0,0.0,1.0,0.4026339054107666
base,stationary,False,True,68,805.0620000000001,1.0,608.3666666666667,0.0,0.0,1.0,0.5386581420898438
base,stationary,False,True,69,930.368,0.9467084639498433,568.6666666666666,34.0,1.1333333333333333,1.0,0.5911669731140137
base,stationary,False,True,70,786.1389999999999,1.0,618.8666666666667,0.0,0.0,1.0,0.8127951622009277
base,stationary,False,True,71,949.91,0.9799691833590138,577.6333333333333,13.0,0.43333333333333335,1.0,1.1036837100982666
base,stationary,False,False,42,840.91,1.0,600.3,0.0,0.0,1.0,0.7598998546600342
base,stationary,False,False,43,818.167,1.0,602.6666666666666,0.0,0.0,1.0,0.9619612693786621
base,stationary,False,False,44,826.981,1.0,602.7333333333333,0.0,0.0,1.0,0.9595260620117188
base,stationary,False,False,45,833.9880000000002,0.9916387959866221,592.6,5.0,0.16666666666666666,1.0,0.8673689365386963
base,stationary,False,False,46,834.1479999999999,1.0,594.9666666666667,0.0,0.0,1.0,0.6550450325012207
base,stationary,False,False,47,909.6169999999998,0.963302752293578,580.8,24.0,0.8,1.0,0.6629190444946289
base,stationary,False,False,48,871.943,1.0,592.5333333333333,0.0,0.0,1.0,0.4962930679321289
base,stationary,False,False,49,866.2929999999999,0.9934640522875817,589.4666666666667,4.0,0.13333333333333333,1.0,0.8808789253234863
base,stationary,False,False,50,870.8829999999998,1.0,600.5,0.0,0.0,1.0,0.3883848190307617
base,stationary,False,False,51,871.8279999999999,1.0,589.2,0.0,0.0,1.0,0.9444870948791504
base,stationary,False,False,52,842.872,1.0,595.8666666666667,0.0,0.0,1.0,1.2441363334655762
base,stationary,False,False,53,811.3249999999999,1.0,598.5333333333333,0.0,0.0,1.0,1.7373549938201904
base,stationary,False,False,54,748.657,1.0,631.1666666666666,0.0,0.0,1.0,1.0793180465698242
base,stationary,False,False,55,740.4600000000003,1.0,636.1333333333333,0.0,0.0,1.0,1.7612040042877197
base,stationary,False,False,56,912.6330000000002,1.0,585.7333333333333,0.0,0.0,1.0,0.8489139080047607
base,stationary,False,False,57,839.6120000000001,1.0,600.9666666666667,0.0,0.0,1.0,1.3428092002868652
base,stationary,False,False,58,833.073,1.0,603.1333333333333,0.0,0.0,1.0,1.4170067310333252
base,stationary,False,False,59,807.4970000000001,1.0,609.9,0.0,0.0,1.0,0.9478600025177002
base,stationary,False,False,60,770.9889999999998,1.0,614.0333333333333,0.0,0.0,1.0,0.443068265914917
base,stationary,False,False,61,811.602,1.0,615.8,0.0,0.0,1.0,0.5515592098236084
base,stationary,False,False,62,922.915,1.0,580.9666666666667,0.0,0.0,1.0,0.5640769004821777
base,stationary,False,False,63,825.5079999999998,1.0,614.5666666666667,0.0,0.0,1.0,0.7299079895019531
base,stationary,False,False,64,899.5969999999998,0.963020030816641,583.0666666666667,24.0,0.8,1.0,0.886591911315918
base,stationary,False,False,65,772.2540000000001,1.0,614.4666666666667,0.0,0.0,1.0,38.08085083961487
base,stationary,False,False,66,794.6770000000001,1.0,616.3333333333334,0.0,0.0,1.0,2.7197189331054688
base,stationary,False,False,67,686.4889999999999,1.0,631.4333333333333,0.0,0.0,1.0,5.6912219524383545
base,stationary,False,False,68,805.0620000000001,1.0,608.3666666666667,0.0,0.0,1.0,2.1403608322143555
base,stationary,False,False,69,871.581,0.957680250783699,583.0666666666667,27.0,0.9,1.0,1.424570083618164
