agent,demand,goodwill,seed,profit
Heuristic,stationary,False,100,812.7916666666667
MSSP,stationary,False,100,844.76
Residual_V1,stationary,False,100,797.3487053677691
Residual_V2,stationary,False,100,798.3570918188396
Heuristic,stationary,False,101,841.6779583333333
MSSP,stationary,False,101,862.6350000000001
Residual_V1,stationary,False,101,827.4412937375602
Residual_V2,stationary,False,101,826.9693166513333
Heuristic,stationary,False,102,774.2795677083333
MSSP,stationary,False,102,800.4250000000001
Residual_V1,stationary,False,102,759.8313792011846
Residual_V2,stationary,False,102,759.7888851364346
Heuristic,stationary,False,103,685.28675
MSSP,stationary,False,103,711.1550000000001
Residual_V1,stationary,False,103,665.8798364414663
Residual_V2,stationary,False,103,670.4055735565192
Heuristic,stationary,False,104,719.2320208333333
MSSP,stationary,False,104,747.8299999999999
Residual_V1,stationary,False,104,701.3274832962885
Residual_V2,stationary,False,104,707.9561801293919
Heuristic,stationary,False,105,788.1048958333333
MSSP,stationary,False,105,819.575
Residual_V1,stationary,False,105,771.5994644554431
Residual_V2,stationary,False,105,774.979860345321
Heuristic,stationary,False,106,873.1411666666667
MSSP,stationary,False,106,891.57
Residual_V1,stationary,False,106,857.9540900011548
Residual_V2,stationary,False,106,858.7070212586286
Heuristic,stationary,False,107,669.166125
MSSP,stationary,False,107,693.575
Residual_V1,stationary,False,107,647.5251438799094
Residual_V2,stationary,False,107,655.8352394848021
Heuristic,stationary,False,108,684.4633958333334
MSSP,stationary,False,108,711.5700000000002
Residual_V1,stationary,False,108,665.4452563407531
Residual_V2,stationary,False,108,670.9593834515921
Heuristic,stationary,False,109,880.6830312500001
MSSP,stationary,False,109,886.735
Residual_V1,stationary,False,109,865.9593055857657
Residual_V2,stationary,False,109,865.3385790059143
Heuristic,stationary,True,100,770.8731458333335
MSSP,stationary,True,100,645.1600000000001
Residual_V1,stationary,True,100,754.1184521635839
Residual_V2,stationary,True,100,828.8326483363783
Heuristic,stationary,True,101,728.58325
MSSP,stationary,True,101,502.1650000000001
Residual_V1,stationary,True,101,765.368052808025
Residual_V2,stationary,True,101,691.8294370223757
Heuristic,stationary,True,102,648.9254583333334
MSSP,stationary,True,102,531.3299999999999
Residual_V1,stationary,True,102,635.0192236420388
Residual_V2,stationary,True,102,636.0833777210873
Heuristic,stationary,True,103,700.5862447916666
MSSP,stationary,True,103,780.765
Residual_V1,stationary,True,103,757.149697590789
Residual_V2,stationary,True,103,761.4525816056653
Heuristic,stationary,True,104,738.6121666666667
MSSP,stationary,True,104,862.1999999999999
Residual_V1,stationary,True,104,797.4317654632181
Residual_V2,stationary,True,104,803.1744781474476
Heuristic,stationary,True,105,810.0799062500001
MSSP,stationary,True,105,748.2049999999999
Residual_V1,stationary,True,105,796.4085836680931
Residual_V2,stationary,True,105,800.3317138007702
Heuristic,stationary,True,106,935.4411666666667
MSSP,stationary,True,106,542.33
Residual_V1,stationary,True,106,950.2207850031293
Residual_V2,stationary,True,106,923.9398804188747
Heuristic,stationary,True,107,822.757734375
MSSP,stationary,True,107,873.1700000000001
Residual_V1,stationary,True,107,809.2552774403456
Residual_V2,stationary,True,107,816.2214161036533
Heuristic,stationary,True,108,750.2156041666667
MSSP,stationary,True,108,814.765
Residual_V1,stationary,True,108,736.201522384371
Residual_V2,stationary,True,108,741.7020536788681
Heuristic,stationary,True,109,737.5683125
MSSP,stationary,True,109,632.0999999999999
Residual_V1,stationary,True,109,805.0878227863659
Residual_V2,stationary,True,109,808.1622088320041
Heuristic,shock,False,100,1272.7722899305554
MSSP,shock,False,100,1490.8650000000002
Residual_V1,shock,False,100,1269.1472077161025
Residual_V2,shock,False,100,1268.0592773379074
Heuristic,shock,False,101,1271.3187777777778
MSSP,shock,False,101,1478.545
Residual_V1,shock,False,101,1267.2318813516704
Residual_V2,shock,False,101,1267.214076885917
Heuristic,shock,False,102,1217.937146412037
MSSP,shock,False,102,1426.2649999999999
Residual_V1,shock,False,102,1214.7569082742955
Residual_V2,shock,False,102,1214.2939800562979
Heuristic,shock,False,103,1091.3971666666666
MSSP,shock,False,103,1301.465
Residual_V1,shock,False,103,1086.2070591308106
Residual_V2,shock,False,103,1087.7291575376632
Heuristic,shock,False,104,1171.1487135416667
MSSP,shock,False,104,1380.7050000000002
Residual_V1,shock,False,104,1166.1882097520656
Residual_V2,shock,False,104,1168.0620416337754
Heuristic,shock,False,105,1255.9761296296297
MSSP,shock,False,105,1469.6050000000002
Residual_V1,shock,False,105,1251.7240042456094
Residual_V2,shock,False,105,1251.2694064526245
Heuristic,shock,False,106,1362.7665517939815
MSSP,shock,False,106,1579.9950000000001
Residual_V1,shock,False,106,1371.109200018289
Residual_V2,shock,False,106,1357.9107467029412
Heuristic,shock,False,107,1089.8646961805555
MSSP,shock,False,107,1298.5900000000001
Residual_V1,shock,False,107,1083.4076981068442
Residual_V2,shock,False,107,1086.3254978534137
Heuristic,shock,False,108,1113.1967447916666
MSSP,shock,False,108,1323.6750000000002
Residual_V1,shock,False,108,1108.2914525145939
Residual_V2,shock,False,108,1108.4806550465416
Heuristic,shock,False,109,1339.0160540726274
MSSP,shock,False,109,1548.085
Residual_V1,shock,False,109,1335.4283325938482
Residual_V2,shock,False,109,1334.8095355750586
Heuristic,shock,True,100,1065.435354166667
MSSP,shock,True,100,1182.8400000000001
Residual_V1,shock,True,100,1101.0009836074391
Residual_V2,shock,True,100,1130.014912148708
Heuristic,shock,True,101,1021.1365555555556
MSSP,shock,True,101,871.2950000000001
Residual_V1,shock,True,101,1033.8362854411944
Residual_V2,shock,True,101,1014.935522447737
Heuristic,shock,True,102,1009.33028125
MSSP,shock,True,102,984.1700000000001
Residual_V1,shock,True,102,997.3632182017677
Residual_V2,shock,True,102,1007.5840184462147
Heuristic,shock,True,103,1102.607564236111
MSSP,shock,True,103,1463.84
Residual_V1,shock,True,103,1124.7097567682288
Residual_V2,shock,True,103,1127.9399894827736
Heuristic,shock,True,104,1190.4487916666667
MSSP,shock,True,104,1555.85
Residual_V1,shock,True,104,1212.3952091784186
Residual_V2,shock,True,104,1215.4713183388967
Heuristic,shock,True,105,1184.6389149305555
MSSP,shock,True,105,1411.43
Residual_V1,shock,True,105,1179.2912166717329
Residual_V2,shock,True,105,1183.0068923191739
Heuristic,shock,True,106,1226.2439814814816
MSSP,shock,True,106,944.105
Residual_V1,shock,True,106,1221.8125353609728
Residual_V2,shock,True,106,1224.4395098321008
Heuristic,shock,True,107,1172.6307161458333
MSSP,shock,True,107,1677.365
Residual_V1,shock,True,107,1167.3924257378717
Residual_V2,shock,True,107,1170.8516874431043
Heuristic,shock,True,108,1190.285013888889
MSSP,shock,True,108,1469.68
Residual_V1,shock,True,108,1241.7329907094877
Residual_V2,shock,True,108,1187.6679642371837
Heuristic,shock,True,109,1140.9607291666666
MSSP,shock,True,109,1114.6399999999999
Residual_V1,shock,True,109,1216.0364271702688
Residual_V2,shock,True,109,1171.5931124096128
