Network,Demand,Goodwill,Backlog,FillRate_Mean_DLP,FillRate_Mean_DLP_Blind,FillRate_Mean_Oracle,Profit_Mean_DLP,Profit_Mean_DLP_Blind,Profit_Mean_Oracle,Unfulfilled_Mean_DLP,Unfulfilled_Mean_DLP_Blind,Unfulfilled_Mean_Oracle,DLP_Gap_vs_Oracle_%,VPF_DLP
base,seasonal,False,False,0.8297708690660933,0.834293949114489,0.8424537654763273,582.638,579.8410000000001,648.6225999999999,102.8,99.8,95.0,10.17,2.8
base,seasonal,False,True,0.45210783742458843,0.37762833301840726,0.5637659445201708,791.1030000000001,770.048,840.9057999999999,333.2,376.2,264.4,5.92,21.06
base,seasonal,True,False,0.8786688630680821,0.8819883875427031,0.8255104620985314,415.837,445.429,516.8643999999999,59.2,59.0,95.2,19.55,-29.59
base,seasonal,True,True,0.668936940004605,0.7449168020285171,0.426043822625984,506.584,475.304,672.4886,154.4,119.4,306.4,24.67,31.28
base,seasonal+shock,False,False,0.8651535742993657,0.8246225341612938,0.8819212525014531,1002.925,926.643,1071.2692,108.8,141.4,95.0,6.38,76.28
base,seasonal+shock,False,True,0.5694216905558933,0.43170110084298835,0.6730685172854388,1221.135,1154.9140000000002,1262.407,349.8,459.0,264.4,3.27,66.22
base,seasonal+shock,True,False,0.9028514719462437,0.8938482763973946,0.8611044509847593,679.95,703.043,794.3226000000001,59.2,66.0,95.2,14.4,-23.09
base,seasonal+shock,True,True,0.7371075474726883,0.7792797714866515,0.529680956585182,756.113,702.615,902.1510000000002,150.4,126.2,306.4,16.19,53.5
base,shock,False,False,0.9676156888571942,0.8425998119117498,0.9941082872057795,1353.014,1098.565,1441.375,29.2,140.0,5.4,6.13,254.45
base,shock,False,True,0.9066229026841046,0.5734976788372868,0.9934546924345377,1408.02,1367.23,1453.193,84.6,379.4,6.0,3.11,40.79
base,shock,True,False,0.9592343769237409,0.9151441835207901,0.9836111670153438,1082.629,820.6290000000001,1508.0493999999999,31.0,56.8,15.0,28.21,262.0
base,shock,True,True,0.9274180308625111,0.7994081123406683,0.9775246925142351,1028.5919999999999,887.548,1539.8902000000003,48.0,131.8,20.4,33.2,141.04
base,stationary,False,False,0.9570683122804265,0.9486854266191524,0.9913721682847896,737.1790000000001,726.354,829.5322,26.2,31.0,5.4,11.13,10.83
base,stationary,False,True,0.8767947120165862,0.8913980328838326,0.9904197873324087,788.1129999999999,787.5470000000001,841.3732,75.8,65.6,6.0,6.33,0.57
base,stationary,True,False,0.9587800429263957,0.9522467548437163,0.9758355475449019,590.302,646.915,864.0554,21.6,26.0,15.0,31.68,-56.61
base,stationary,True,True,0.9197678442643827,0.9136496918259767,0.9669290198246128,549.4530000000001,659.769,895.9970000000001,36.8,45.6,20.4,38.68,-110.32
base,trend,False,False,0.8963204098438833,0.818839241759848,0.9096397087191586,1472.138,1294.8700000000001,1535.8922000000002,106.6,186.0,92.8,4.15,177.27
base,trend,False,True,0.7162098400926415,0.46429363932101353,0.7845292443744826,1686.991,1637.9370000000001,1726.8110000000001,293.0,549.8,222.0,2.31,49.05
base,trend,True,False,0.9163361892400863,0.8874197371861989,0.8883515497659367,1008.491,874.092,1206.6563999999998,63.8,82.4,99.6,16.42,134.4
base,trend,True,True,0.8513253143607397,0.7873086338728739,0.6833990509725214,1053.833,839.142,1291.9632,106.6,131.0,267.0,18.43,214.69
base,trend+seasonal,False,False,0.7547650885563031,0.7130582758361299,0.7733962717525001,1064.273,972.132,1142.1958,237.0,277.0,218.6,6.82,92.14
base,trend+seasonal,False,True,0.062105049072874216,0.0,0.07789145109763655,1510.2530000000002,1396.1979999999999,1549.8776000000003,1009.8,1231.2,925.6,2.56,114.06
base,trend+seasonal,True,False,0.776964570788282,0.8194883716551242,0.7481245363530371,623.743,553.892,720.9208000000001,149.6,108.8,190.0,13.48,69.85
base,trend+seasonal,True,True,0.23603616956005052,0.3896082061700833,0.0044506258692628585,800.6030000000001,588.289,989.5748,468.0,321.2,824.4,19.1,212.31
base,trend+seasonal+shock,False,False,0.8295476001136484,0.7085111507864249,0.8420905192298405,1956.0459999999998,1582.69,2022.3056000000001,236.2,403.6,218.6,3.28,373.36
base,trend+seasonal+shock,False,True,0.20909474492264618,0.0,0.3071513679221131,2286.208,2144.564,2422.0263999999997,1099.8,1570.6,960.6,5.61,141.64
base,trend+seasonal+shock,True,False,0.8252672302110977,0.8254967873892054,0.811394798765496,1055.605,859.943,1214.3744,152.8,133.8,190.0,13.07,195.66
base,trend+seasonal+shock,True,True,0.3878988078105371,0.4661902903753665,0.1356437507612483,1163.7,855.22,1374.3856,476.8,349.6,824.4,15.33,308.48
base,trend+shock,False,False,0.807887183309757,0.722373133796965,0.9438209800342493,2344.8769999999995,1998.636,2810.5122,317.4,457.8,92.8,16.57,346.24
base,trend+shock,False,True,0.38389359614884633,0.0,0.8658936427574753,2293.549,2183.854,2979.0724,1020.4,1959.2,222.0,23.01,109.7
base,trend+shock,True,False,0.9451979520793161,0.8583978024269168,0.9278319439623619,1825.989,1079.4309999999998,2085.079,63.0,123.0,99.6,12.43,746.56
