agent,demand,goodwill,seed,profit
Oracle,stationary,False,100,887.3510000000001
Heuristic,stationary,False,100,812.7916666666667
DLP,stationary,False,100,838.665
MSSP,stationary,False,100,844.76
MSSP_Blind,stationary,False,100,841.1949999999999
DLP_Blind,stationary,False,100,836.3196666700001
Residual_General,stationary,False,100,798.3570918188396
Residual_Specific,stationary,False,100,808.0023542020751
Oracle,stationary,False,101,917.5109999999997
Heuristic,stationary,False,101,841.6779583333333
DLP,stationary,False,101,858.3
MSSP,stationary,False,101,862.6350000000001
MSSP_Blind,stationary,False,101,864.4
DLP_Blind,stationary,False,101,862.8599999999999
Residual_General,stationary,False,101,826.9693166513333
Residual_Specific,stationary,False,101,838.9658875867174
Oracle,stationary,False,102,849.86
Heuristic,stationary,False,102,774.2795677083333
DLP,stationary,False,102,794.97
MSSP,stationary,False,102,800.4250000000001
MSSP_Blind,stationary,False,102,793.9250000000001
DLP_Blind,stationary,False,102,790.143666785
Residual_General,stationary,False,102,759.7888851364346
Residual_Specific,stationary,False,102,770.4777723878203
Oracle,stationary,False,103,758.47
Heuristic,stationary,False,103,685.28675
DLP,stationary,False,103,712.425
MSSP,stationary,False,103,711.1550000000001
MSSP_Blind,stationary,False,103,710.6400000000001
DLP_Blind,stationary,False,103,710.3820000000001
Residual_General,stationary,False,103,670.4055735565192
Residual_Specific,stationary,False,103,679.4134292740159
Oracle,stationary,False,104,793.674
Heuristic,stationary,False,104,719.2320208333333
DLP,stationary,False,104,736.2050000000002
MSSP,stationary,False,104,747.8299999999999
MSSP_Blind,stationary,False,104,745.4800000000001
DLP_Blind,stationary,False,104,738.224
Residual_General,stationary,False,104,707.9561801293919
Residual_Specific,stationary,False,104,714.873191659947
Oracle,stationary,False,105,862.155
Heuristic,stationary,False,105,788.1048958333333
DLP,stationary,False,105,797.065
MSSP,stationary,False,105,819.575
MSSP_Blind,stationary,False,105,817.745
DLP_Blind,stationary,False,105,800.444166665
Residual_General,stationary,False,105,774.979860345321
Residual_Specific,stationary,False,105,784.8412154711866
Oracle,stationary,False,106,948.095
Heuristic,stationary,False,106,873.1411666666667
DLP,stationary,False,106,865.77
MSSP,stationary,False,106,891.57
MSSP_Blind,stationary,False,106,893.4250000000002
DLP_Blind,stationary,False,106,889.2611666
Residual_General,stationary,False,106,858.7070212586286
Residual_Specific,stationary,False,106,870.2907444767154
Oracle,stationary,False,107,742.435
Heuristic,stationary,False,107,669.166125
DLP,stationary,False,107,674.4350000000001
MSSP,stationary,False,107,693.575
MSSP_Blind,stationary,False,107,683.755
DLP_Blind,stationary,False,107,671.8510000000001
Residual_General,stationary,False,107,655.8352394848021
Residual_Specific,stationary,False,107,665.4828662677295
Oracle,stationary,False,108,758.762
Heuristic,stationary,False,108,684.4633958333334
DLP,stationary,False,108,712.575
MSSP,stationary,False,108,711.5700000000002
MSSP_Blind,stationary,False,108,706.1800000000001
DLP_Blind,stationary,False,108,705.793
Residual_General,stationary,False,108,670.9593834515921
Residual_Specific,stationary,False,108,680.6131424989608
Oracle,stationary,False,109,954.532
Heuristic,stationary,False,109,880.6830312500001
DLP,stationary,False,109,856.375
MSSP,stationary,False,109,886.735
MSSP_Blind,stationary,False,109,907.605
DLP_Blind,stationary,False,109,891.136
Residual_General,stationary,False,109,865.3385790059143
Residual_Specific,stationary,False,109,878.8572253855766
Oracle,stationary,True,100,1004.3220000000001
Heuristic,stationary,True,100,770.8731458333335
DLP,stationary,True,100,543.9813854880001
MSSP,stationary,True,100,645.1600000000001
MSSP_Blind,stationary,True,100,733.875
DLP_Blind,stationary,True,100,733.2734166700001
Residual_General,stationary,True,100,828.8326483363783
Residual_Specific,stationary,True,100,904.4976501521387
Oracle,stationary,True,101,839.4749999999999
Heuristic,stationary,True,101,728.58325
DLP,stationary,True,101,431.2237188925001
MSSP,stationary,True,101,502.1650000000001
MSSP_Blind,stationary,True,101,768.365
DLP_Blind,stationary,True,101,741.5210000000002
Residual_General,stationary,True,101,691.8294370223757
Residual_Specific,stationary,True,101,653.2635403408691
Oracle,stationary,True,102,864.219
Heuristic,stationary,True,102,648.9254583333334
DLP,stationary,True,102,510.88309159240004
MSSP,stationary,True,102,531.3299999999999
MSSP_Blind,stationary,True,102,640.08
DLP_Blind,stationary,True,102,536.342
Residual_General,stationary,True,102,636.0833777210873
