Network,Demand,Goodwill,Backlog,Seed,Old_Profit,Old_FillRate,Old_Unfulfilled,Old_AvgInv,Old_AvgBacklog,Old_Sentiment,Old_SolveTime,Clv_Profit,Clv_FillRate,Clv_Unfulfilled,Clv_AvgInv,Clv_AvgBacklog,Clv_Sentiment,Clv_SolveTime
base,stationary,False,True,42,840.91,1.0,0.0,600.3,0.0,1.0,0,840.91,1.0,0.0,100.05,0.0,1.0,5.832644939422607
base,stationary,False,True,43,818.167,1.0,0.0,602.6666666666666,0.0,1.0,0,818.167,1.0,0.0,100.44444444444444,0.0,1.0,4.554464340209961
base,stationary,False,True,44,826.981,1.0,0.0,602.7333333333333,0.0,1.0,0,826.981,1.0,0.0,100.45555555555555,0.0,1.0,3.916529893875122
base,stationary,False,True,45,845.008,0.9916387959866221,5.0,589.9333333333333,0.16666666666666666,1.0,0,845.008,0.9916387959866221,5.0,98.32222222222222,0.16666666666666666,1.0,3.533658027648926
base,stationary,False,True,46,834.1479999999999,1.0,0.0,594.9666666666667,0.0,1.0,0,834.1479999999999,1.0,0.0,99.16111111111111,0.0,1.0,3.1004698276519775
base,stationary,False,True,47,962.3980000000001,0.9617737003058104,25.0,568.0,0.8333333333333334,1.0,0,962.3980000000001,0.9617737003058104,25.0,94.66666666666667,0.8333333333333334,1.0,3.2467527389526367
base,stationary,False,True,48,871.943,1.0,0.0,592.5333333333333,0.0,1.0,0,871.943,1.0,0.0,98.75555555555556,0.0,1.0,2.949007987976074
base,stationary,False,True,49,875.1089999999999,0.9934640522875817,4.0,587.3333333333334,0.13333333333333333,1.0,0,875.1089999999999,0.9934640522875817,4.0,97.88888888888889,0.13333333333333333,1.0,2.9129600524902344
base,stationary,False,True,50,870.8829999999998,1.0,0.0,600.5,0.0,1.0,0,870.8829999999998,1.0,0.0,100.08333333333333,0.0,1.0,2.945389986038208
base,stationary,False,True,51,871.8279999999999,1.0,0.0,589.2,0.0,1.0,0,871.8279999999999,1.0,0.0,98.2,0.0,1.0,3.057776927947998
base,stationary,False,True,52,842.872,1.0,0.0,595.8666666666667,0.0,1.0,0,842.872,1.0,0.0,99.31111111111112,0.0,1.0,3.042020797729492
base,stationary,False,True,53,811.3249999999999,1.0,0.0,598.5333333333333,0.0,1.0,0,811.3249999999999,1.0,0.0,99.75555555555556,0.0,1.0,2.9298207759857178
base,stationary,False,True,54,748.657,1.0,0.0,631.1666666666666,0.0,1.0,0,748.657,1.0,0.0,105.19444444444444,0.0,1.0,2.9171531200408936
base,stationary,False,True,55,740.4600000000003,1.0,0.0,636.1333333333333,0.0,1.0,0,740.4600000000003,1.0,0.0,106.02222222222223,0.0,1.0,3.0246810913085938
base,stationary,False,True,56,912.6330000000002,1.0,0.0,585.7333333333333,0.0,1.0,0,912.6330000000002,1.0,0.0,97.62222222222222,0.0,1.0,2.932800054550171
base,stationary,False,True,57,839.6120000000001,1.0,0.0,600.9666666666667,0.0,1.0,0,839.6120000000001,1.0,0.0,100.16111111111111,0.0,1.0,2.985750913619995
base,stationary,False,True,58,833.073,1.0,0.0,603.1333333333333,0.0,1.0,0,833.073,1.0,0.0,100.52222222222223,0.0,1.0,3.058881998062134
base,stationary,False,True,59,807.4970000000001,1.0,0.0,609.9,0.0,1.0,0,807.4970000000001,1.0,0.0,101.65,0.0,1.0,3.0547358989715576
base,stationary,False,True,60,770.9889999999998,1.0,0.0,614.0333333333333,0.0,1.0,0,770.9889999999998,1.0,0.0,102.33888888888889,0.0,1.0,3.2639718055725098
base,stationary,False,True,61,811.602,1.0,0.0,615.8,0.0,1.0,0,811.602,1.0,0.0,102.63333333333334,0.0,1.0,3.0399601459503174
base,stationary,False,True,62,922.915,1.0,0.0,580.9666666666667,0.0,1.0,0,922.915,1.0,0.0,96.82777777777778,0.0,1.0,3.2055978775024414
base,stationary,False,True,63,825.5079999999998,1.0,0.0,614.5666666666667,0.0,1.0,0,825.5079999999998,1.0,0.0,102.42777777777778,0.0,1.0,2.9830172061920166
base,stationary,False,True,64,952.46,0.963020030816641,24.0,570.2666666666667,0.8,1.0,0,952.46,0.963020030816641,24.0,95.04444444444445,0.8,1.0,3.014930248260498
base,stationary,False,True,65,772.2540000000001,1.0,0.0,614.4666666666667,0.0,1.0,0,772.2540000000001,1.0,0.0,102.41111111111111,0.0,1.0,3.001391887664795
base,stationary,False,True,66,794.6770000000001,1.0,0.0,616.3333333333334,0.0,1.0,0,794.6770000000001,1.0,0.0,102.72222222222223,0.0,1.0,3.0153658390045166
base,stationary,False,True,67,686.4889999999999,1.0,0.0,631.4333333333333,0.0,1.0,0,686.4889999999999,1.0,0.0,105.2388888888889,0.0,1.0,3.1357200145721436
base,stationary,False,True,68,805.0620000000001,1.0,0.0,608.3666666666667,0.0,1.0,0,805.0620000000001,1.0,0.0,101.39444444444445,0.0,1.0,3.3500311374664307
base,stationary,False,True,69,930.368,0.9467084639498433,34.0,568.6666666666666,1.1333333333333333,1.0,0,930.368,0.9467084639498433,34.0,94.77777777777777,1.1333333333333333,1.0,4.782127141952515
base,stationary,False,True,70,786.1389999999999,1.0,0.0,618.8666666666667,0.0,1.0,0,786.1389999999999,1.0,0.0,103.14444444444445,0.0,1.0,3.8449389934539795
base,stationary,False,True,71,949.91,0.9799691833590138,13.0,577.6333333333333,0.43333333333333335,1.0,0,949.91,0.9799691833590138,13.0,96.27222222222223,0.43333333333333335,1.0,3.3706510066986084
base,stationary,False,False,42,840.91,1.0,0.0,600.3,0.0,1.0,0,840.91,1.0,0.0,100.05,0.0,1.0,3.1696279048919678
base,stationary,False,False,43,818.167,1.0,0.0,602.6666666666666,0.0,1.0,0,818.167,1.0,0.0,100.44444444444444,0.0,1.0,3.328917980194092
base,stationary,False,False,44,826.981,1.0,0.0,602.7333333333333,0.0,1.0,0,826.981,1.0,0.0,100.45555555555555,0.0,1.0,3.7176859378814697
base,stationary,False,False,45,833.9880000000002,0.9916387959866221,5.0,592.6,0.16666666666666666,1.0,0,833.9880000000002,0.9916387959866221,5.0,98.76666666666667,0.16666666666666666,1.0,3.1436591148376465
base,stationary,False,False,46,834.1479999999999,1.0,0.0,594.9666666666667,0.0,1.0,0,834.1479999999999,1.0,0.0,99.16111111111111,0.0,1.0,3.617905855178833
base,stationary,False,False,47,909.6169999999998,0.963302752293578,24.0,580.8,0.8,1.0,0,909.6169999999998,0.963302752293578,24.0,96.8,0.8,1.0,3.7404799461364746
base,stationary,False,False,48,871.943,1.0,0.0,592.5333333333333,0.0,1.0,0,871.943,1.0,0.0,98.75555555555556,0.0,1.0,3.5080997943878174
base,stationary,False,False,49,866.2929999999999,0.9934640522875817,4.0,589.4666666666667,0.13333333333333333,1.0,0,866.2929999999999,0.9934640522875817,4.0,98.24444444444444,0.13333333333333333,1.0,3.761193037033081
base,stationary,False,False,50,870.8829999999998,1.0,0.0,600.5,0.0,1.0,0,870.8829999999998,1.0,0.0,100.08333333333333,0.0,1.0,3.5849668979644775
base,stationary,False,False,51,871.8279999999999,1.0,0.0,589.2,0.0,1.0,0,871.8279999999999,1.0,0.0,98.2,0.0,1.0,3.9475080966949463
base,stationary,False,False,52,842.872,1.0,0.0,595.8666666666667,0.0,1.0,0,842.872,1.0,0.0,99.31111111111112,0.0,1.0,3.9305601119995117
base,stationary,False,False,53,811.3249999999999,1.0,0.0,598.5333333333333,0.0,1.0,0,811.3249999999999,1.0,0.0,99.75555555555556,0.0,1.0,3.9611709117889404
base,stationary,False,False,54,748.657,1.0,0.0,631.1666666666666,0.0,1.0,0,748.657,1.0,0.0,105.19444444444444,0.0,1.0,4.16463303565979
base,stationary,False,False,55,740.4600000000003,1.0,0.0,636.1333333333333,0.0,1.0,0,740.4600000000003,1.0,0.0,106.02222222222223,0.0,1.0,3.7054030895233154
base,stationary,False,False,56,912.6330000000002,1.0,0.0,585.7333333333333,0.0,1.0,0,912.6330000000002,1.0,0.0,97.62222222222222,0.0,1.0,2.987977981567383
base,stationary,False,False,57,839.6120000000001,1.0,0.0,600.9666666666667,0.0,1.0,0,839.6120000000001,1.0,0.0,100.16111111111111,0.0,1.0,2.944705009460449
